"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"CINF";"Cincinnati Financial";"Financials";74.31;3.0080373;1071362;3.02;1.98
"CL";"Colgate-Palmolive";"Consumer Staples";70.19;0.61639947;3457558;2.28;1.59
"CLX";"The Clorox Company";"Consumer Staples";127.95;-0.6599426;1166598;6.062;3.32
"CMA";"Comerica Inc.";"Financials";93.3;1.8447794;1604950;4.14;1.09
"CMCSA";"Comcast Corp.";"Consumer Discretionary";38.54;-0.0777775;30682529;4.75;0.63
"CME";"CME Group Inc.";"Financials";160.13;2.0911689;1991376;11.94;2.64
"CMG";"Chipotle Mexican Grill";"Consumer Discretionary";254.45;-0.39536902;1953508;6.17;NA
"CMI";"Cummins Inc.";"Industrials";165.77;1.0484616;1912307;5.97;4.21
"CMS";"CMS Energy";"Utilities";42.88;0.21032986;2640556;1.931;1.308
"CNC";"Centene Corporation";"Health Care";103.09;1.4066423;1332143;4.69;NA
"CNP";"CenterPoint Energy";"Utilities";26.73;0.8679228;2870879;1.38;1.06
"COF";"Capital One Financial";"Financials";95.19;3.4449096;2766530;3.484;1.6
"COG";"Cabot Oil & Gas";"Energy";23.84;0.84602696;7359145;-0.32;0.14
"COL";"Rockwell Collins";"Industrials";134.68;1.0807469;1324260;5.396;1.32
"COO";"The Cooper Companies";"Health Care";226.76;0;450687;7.52;0.06
"COP";"ConocoPhillips";"Energy";53.41;2.672048;7035416;-0.7;1.06
"COST";"Costco Wholesale Corp.";"Consumer Staples";181.06;0.18813431;1596154;6.29;1.95
"COTY";"Coty, Inc";"Consumer Staples";20.42;2.8197353;9902160;-0.599;0.5
"CPB";"Campbell Soup";"Consumer Staples";46.31;1.268318;3183051;2.855;1.4
"CRM";"Salesforce.com";"Information Technology";108.55;1.4675636;4624113;0.012;NA
"CSCO";"Cisco Systems";"Information Technology";40.6;2.7068043;38210735;1.92;1.13
"CSRA";"CSRA Inc.";"Information Technology";40.39;31.051266;43756486;2.29;0.4
"CSX";"CSX Corp.";"Industrials";53.16;4.4606023;11144717;5.99;0.78
"CTAS";"Cintas Corporation";"Industrials";154.4;1.0934317;484797;5.045;1.62
"CTL";"CenturyLink Inc";"Telecommunication Services";16.76;4.881106;12828667;0.58;2.16
"CTSH";"Cognizant Technology Solutions";"Information Technology";77.43;1.4942973;5642765;2.53;0.45
"CTXS";"Citrix Systems";"Information Technology";86.79;1.2128291;1644305;-0.135;NA
"CVS";"CVS Health";"Consumer Staples";69.87;0.6917471;8943768;4.853;1.925
"CVX";"Chevron Corp.";"Energy";113.98;0.42291045;8358207;4.85;4.32
"CXO";"Concho Resources";"Energy";143.48;3.237876;1720352;3.809;NA
"D";"Dominion Energy";"Utilities";75.26;1.1831204;4418624;4.93;3.035
"DAL";"Delta Air Lines Inc.";"Industrials";52.05;3.151011;10610194;4.95;1.015
"DE";"Deere & Co.";"Industrials";159.21;2.762547;2343108;6.68;2.4
"DFS";"Discover Financial Services";"Financials";75.95;2.482791;2100298;5.42;1.3
"DG";"Dollar General";"Consumer Discretionary";95.09;-3.2261405;4597555;4.513;1.03
"DGX";"Quest Diagnostics";"Health Care";99.07;0.74232596;974006;5.5;1.8
"DHI";"D. R. Horton";"Consumer Discretionary";44.84;1.724134;7880094;2.677;0.425
"DHR";"Danaher Corp.";"Health Care";95.41;1.0057216;2247606;3.532;0.56
"DIS";"The Walt Disney Company";"Consumer Discretionary";103.39;0.29101083;9584727;7.011;1.62
"DISCA";"Discovery Communications-A";"Consumer Discretionary";23.09;2.1229525;3822111;1.901;NA
"DISCK";"Discovery Communications-C";"Consumer Discretionary";21.87;2.2440462;2532720;1.901;NA
"DISH";"Dish Network";"Consumer Discretionary";44;1.3824849;1955333;2.058;NA
